id,release_date,movie,production_budget,domestic_gross,worldwide_gross,production_budget_num,domestic_gross_num,worldwide_gross_num,domestic_ratio,worldwide_ratio,profit_num,roi_num,domestic_pct
88,2016-07-01,The Legend of Tarzan,"$180,000,000","$126,643,061","$348,902,025",180000000.0,126643061.0,348902025.0,0.7035725611111111,1.9383445833333333,168902025.0,0.9383445833333334,36.29759987778804
89,2011-11-23,Hugo,"$180,000,000","$73,864,507","$180,047,784",180000000.0,73864507.0,180047784.0,0.4103583722222222,1.0002654666666666,47784.0,0.00026546666666666665,41.0249464664336
90,2017-07-21,Valerian and the City of a Thousand Planets,"$180,000,000","$40,479,370","$215,098,356",180000000.0,40479370.0,215098356.0,0.2248853888888889,1.1949908666666667,35098356.0,0.19499086666666668,18.819004827726346
91,2015-02-06,Jupiter Ascending,"$179,000,000","$47,482,519","$181,982,519",179000000.0,47482519.0,181982519.0,0.265265469273743,1.0166621173184358,2982519.0,0.016662117318435754,26.091802257116797
92,2018-07-27,Mission: ImpossibleâFallout,"$178,000,000","$220,159,104","$787,456,552",178000000.0,220159104.0,787456552.0,1.2368488988764046,4.4239132134831465,609456552.0,3.423913213483146,27.95825413361981
93,2016-05-27,X-Men: Apocalypse,"$178,000,000","$155,442,489","$542,537,546",178000000.0,155442489.0,542537546.0,0.8732724101123596,3.047963741573034,364537546.0,2.047963741573034,28.65101045006754
94,2018-08-10,The Meg,"$178,000,000","$145,443,742","$529,530,715",178000000.0,145443742.0,529530715.0,0.8170996741573033,2.974891657303371,351530715.0,1.9748916573033708,27.466535534204095
95,2014-06-06,Edge of Tomorrow,"$178,000,000","$100,206,256","$370,541,256",178000000.0,100206256.0,370541256.0,0.5629564943820224,2.081692449438202,192541256.0,1.0816924494382023,27.04321162013873
96,2019-03-08,Captain Marvel,"$175,000,000","$426,525,952","$1,123,061,550",175000000.0,426525952.0,1123061550.0,2.437291154285714,6.417494571428572,948061550.0,5.417494571428572,37.97885805991667
97,2016-04-15,The Jungle Book,"$175,000,000","$364,001,123","$962,854,547",175000000.0,364001123.0,962854547.0,2.080006417142857,5.502025982857143,787854547.0,4.502025982857143,37.80437285508296
