movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes,aka_title,region,language,log_numVotes,runtime_winsorized,tmdb_match,Unnamed: 0,genre_ids,id_numbers,original_language,original_title,popularity,title,vote_average,vote_count,release_year,log_popularity,combined_score,movie_name_match,id_imdb/tmdb,release_date,movie,production_budget,domestic_gross,worldwide_gross,production_budget_num,domestic_gross_num,worldwide_gross_num,domestic_ratio,worldwide_ratio,profit_num,roi_num,domestic_pct
tt6265828,A Ghost Story,2017,92.0,"Drama,Fantasy,Romance",6.8,46280.0,A Ghost Story,Unknown,Unknown,10.742486788680049,92.0,A Ghost Story,20776,"[18, 14, 10749]",428449,en,A Ghost Story,11.886,A Ghost Story,7.0,906,2017,2.5561414507164506,378.124,A Ghost Story,86,2017-07-07,A Ghost Story,"$100,000","$1,594,798","$2,769,782",100000.0,1594798.0,2769782.0,15.94798,27.69782,2669782.0,26.69782,57.57846646414771
tt1937149,The Body,2012,108.0,"Mystery,Thriller",7.6,44373.0,A hulla,HU,Unknown,10.700408991312528,108.0,The Body,5320,"[53, 9648]",111083,es,El cuerpo,9.642,The Body,7.7,526,2012,2.3648084361741777,377.7368,The Boy,68,2016-01-22,The Boy,"$10,000,000","$35,819,556","$68,220,952",10000000.0,35819556.0,68220952.0,3.5819556,6.8220952,58220952.0,5.8220952,52.505212768065746
tt2937696,Everybody Wants Some!!,2016,117.0,Comedy,7.0,47632.0,Dazed and Confused 2,US,Unknown,10.771281077324732,117.0,Everybody Wants Some!!,17835,[35],295699,en,Everybody Wants Some!!,6.839,Everybody Wants Some!!,6.4,681,2016,2.059111275206585,377.008,Everybody Wants Some,69,2016-03-30,Everybody Wants Some,"$10,000,000","$3,400,278","$5,437,126",10000000.0,3400278.0,5437126.0,0.3400278,0.5437126,-4562874.0,-0.4562874,62.53814975043801
tt4547056,The Girl with All the Gifts,2016,111.0,"Drama,Horror,Sci-Fi",6.7,46545.0,A Menina com Todos os Dons,PT,Unknown,10.74819634990461,111.0,The Girl with All the Gifts,20733,"[18, 27, 53, 878]",375366,en,The Girl with All the Gifts,13.714,The Girl with All the Gifts,6.4,982,2017,2.688799421510073,374.6995,The Girl with all the Gifts,43,2017-02-24,The Girl with all the Gifts,"$5,250,000",$0,"$4,801,837",5250000.0,0.0,4801837.0,0.0,0.914635619047619,-448163.0,-0.0853643809523809,0.0
tt4361050,Ouija: Origin of Evil,2016,99.0,"Drama,Horror,Mystery",6.1,47099.0,Olum Alfabesi: Kotulugun Baslangici,TR,tr,10.760028280004509,99.0,Ouija: Origin of Evil,17511,"[27, 53]",335796,en,Ouija: Origin of Evil,11.823,Ouija: Origin of Evil,6.0,1416,2016,2.5512404334769787,372.2638999999999,Ouija: Origin of Evil,75,2016-10-21,Ouija: Origin of Evil,"$9,000,000","$35,144,505","$81,831,866",9000000.0,35144505.0,81831866.0,3.904945,9.092429555555556,72831866.0,8.092429555555556,42.94721203106867
tt0443465,Before We Go,2014,95.0,"Comedy,Drama,Romance",6.8,45181.0,1:30 Train,Unknown,Unknown,10.718454056417167,95.0,Before We Go,14421,"[18, 10749, 35]",283350,en,Before We Go,8.233,Before We Go,6.5,985,2015,2.2227840227904907,371.2558,Before We Go,52,2015-09-04,Before We Go,"$3,000,000","$37,151","$483,938",3000000.0,37151.0,483938.0,0.0123836666666666,0.1613126666666666,-2516062.0,-0.8386873333333333,7.676809839276933
tt3411444,Ferdinand,2017,108.0,"Adventure,Animation,Comedy",6.7,40229.0,Bikec Ferdinand,SI,Unknown,10.602368264943834,108.0,Ferdinand,20664,"[16, 10751, 12, 35]",364689,en,Ferdinand,19.479,Ferdinand,7.1,1425,2017,3.019399970854175,370.7093,Ferdinand,14,2017-12-15,Ferdinand,"$111,000,000","$84,410,380","$289,847,930",111000000.0,84410380.0,289847930.0,0.7604538738738739,2.6112426126126125,178847930.0,1.6112426126126127,29.12229871712384
tt0431021,The Possession,2012,92.0,"Horror,Mystery,Thriller",5.9,53649.0,Cutia blestemata,RO,Unknown,10.890236748058843,92.0,The Possession,5345,"[27, 53]",77883,en,The Possession,8.978,The Possession,5.9,918,2012,2.3003826694388456,370.6911,The Possession,81,2012-08-31,The Possession,"$14,000,000","$49,130,588","$82,925,064",14000000.0,49130588.0,82925064.0,3.5093277142857144,5.9232188571428575,68925064.0,4.9232188571428575,59.24697025256441
tt1430607,Arthur Christmas,2011,97.0,"Adventure,Animation,Comedy",7.1,45439.0,Arthur Bozicek,SI,Unknown,10.724148053395034,97.0,Arthur Christmas,2542,"[18, 16, 10751, 35]",51052,en,Arthur Christmas,12.981,Arthur Christmas,6.7,692,2011,2.6376992650056876,368.9809,Arthur Christmas,14,2011-11-23,Arthur Christmas,"$85,000,000","$46,462,469","$149,717,124",85000000.0,46462469.0,149717124.0,0.5466172823529412,1.7613779294117646,64717124.0,0.7613779294117647,31.033503555678777
tt2364841,Runner Runner,2013,88.0,"Crime,Thriller",5.6,58235.0,Aposta Máxima,BR,Unknown,10.972258999193215,88.0,Runner Runner,8010,"[80, 53, 18]",146238,en,Runner Runner,10.442,Runner Runner,5.6,761,2013,2.4372907958463372,368.732,Runner Runner,53,2013-10-04,Runner Runner,"$30,000,000","$19,316,646","$60,512,680",30000000.0,19316646.0,60512680.0,0.6438882,2.0170893333333333,30512680.0,1.0170893333333333,31.92165014010287
tt1135084,Takers,2010,107.0,"Action,Crime,Thriller",6.2,53377.0,Assalto Arriscado,PT,Unknown,10.885153955040415,107.0,Takers,181,"[28, 80, 18, 53]",22907,en,Takers,8.969,Takers,6.2,605,2010,2.299480278040567,368.4474,Takers,95,2010-08-27,Takers,"$32,000,000","$57,744,720","$70,587,268",32000000.0,57744720.0,70587268.0,1.8045225,2.205852125,38587268.0,1.205852125,81.80614101681907
tt1322312,Going the Distance,2010,102.0,"Comedy,Romance",6.3,54421.0,Adoro-te... à Distância,PT,Unknown,10.904523762856345,102.0,Going the Distance,220,"[35, 18, 10749]",38073,en,Going the Distance,8.281,Going the Distance,6.0,394,2010,2.227969299613256,366.4923,Going the Distance,11,2010-09-03,Going the Distance,"$32,000,000","$17,804,299","$43,603,990",32000000.0,17804299.0,43603990.0,0.55638434375,1.3626246875,11603990.0,0.3626246875,40.83181149248039
tt3922818,The Space Between Us,2017,120.0,"Adventure,Drama,Romance",6.4,41031.0,De Marte a Amarte,ES,Unknown,10.622107529069105,120.0,The Space Between Us,20721,"[10749, 12, 878, 18]",365942,en,The Space Between Us,14.437,The Space Between Us,7.1,1455,2017,2.736767225199704,365.9034,The Space Between Us,84,2017-02-03,The Space Between Us,"$30,000,000","$7,885,294","$16,481,405",30000000.0,7885294.0,16481405.0,0.2628431333333333,0.5493801666666667,-13518595.0,-0.4506198333333333,47.84357886964127
tt1320261,Gulliver's Travels,2010,85.0,"Adventure,Comedy,Family",4.9,61178.0,As Viagens de Gulliver,BR,Unknown,11.021559272360458,85.0,Gulliver's Travels,105,"[35, 12, 10751, 14]",38745,en,Gulliver's Travels,10.768,Gulliver's Travels,5.1,1282,2010,2.4653839832991364,365.1542,Gulliver's Travels,13,2010-12-25,Gulliver's Travels,"$112,000,000","$42,779,261","$232,017,848",112000000.0,42779261.0,232017848.0,0.3819576875,2.0715879285714287,120017848.0,1.0715879285714285,18.437918189810983
